,{},site
2021-04-30,1.0,"""ace-princeton1-prd"""
2021-05-30,0.9978469730292858,"""ace-princeton1-prd"""
2021-06-29,0.9894882177540057,"""ace-princeton1-prd"""
2021-04-30,0.9990740740740741,"""ace-princeton1-dev"""
2021-05-30,0.8649149207084154,"""ace-princeton1-dev"""
2021-06-29,0.0,"""ace-princeton1-dev"""
2021-04-30,0.9728395061728395,"""ace-stanford1-dev"""
2021-05-30,0.8659513392133713,"""ace-stanford1-dev"""
2021-06-29,0.0,"""ace-stanford1-dev"""
2021-04-30,1.0,"""ace-nctu"""
2021-05-30,0.997210357560394,"""ace-nctu"""
2021-06-29,0.9949878757642909,"""ace-nctu"""
2021-04-30,0.9981481481481481,"""ace-menlo-rasp-pi"""
2021-05-30,0.9965854110239137,"""ace-menlo-rasp-pi"""
2021-06-29,0.7750209575260805,"""ace-menlo-rasp-pi"""
2021-04-30,0.9882716049382716,"""ace-intel"""
2021-05-30,0.9564543013241967,"""ace-intel"""
2021-06-29,0.9846962454169954,"""ace-intel"""
2021-04-30,0.42021604938271606,"""ace-stanford2-prd"""
2021-05-30,0.9984258712686783,"""ace-stanford2-prd"""
2021-06-29,0.9959855200259897,"""ace-stanford2-prd"""
2021-04-30,0.608641975308642,"""ace-cornell1-prd"""
2021-05-30,0.7732955203148513,"""ace-cornell1-prd"""
2021-06-29,0.9842669513157284,"""ace-cornell1-prd"""
2021-04-30,0.9989197530864198,"""ace-tucson"""
2021-05-30,0.9753788098021738,"""ace-tucson"""
2021-06-29,0.9795804715054761,"""ace-tucson"""
2021-04-30,0.9989197530864198,"""ace-stanford1-prd"""
2021-05-30,0.9971059790472883,"""ace-stanford1-prd"""
2021-06-29,0.9958347352910464,"""ace-stanford1-prd"""
